Company value
Wal-Mart Stores
The Kroger Co.
Costco
The Home Depot
Walgreen
Target
CVS Caremark
Lowe's Companies
Amazon.com
Safeway
Best Buy
McDonald's
Publix Super Markets
Apple Store / iTunes
Macy's
Rite Aid
Royal Ahold / Ahold USA
Sears Holdings
TJX
H-E-B Grocery
YUM! Brands
Albertsons
Kohl's
Dollar General
Delhaize America
Meijer
WakeFern / ShopRite
Ace Hardware
BJ's Wholesale Club
Whole Foods Market
Doctor's Assoc. / Subway
Nordstrom
Gap
AT&T Wireless
J.C. Penney Co.
Aldi
Bed Bath & Beyond
SUPERVALU
7-Eleven
Ross Stores
Verizon Wireless
Starbucks
Family Dollar Stores
Bi-Lo
L Brands
Menard
Trader Joe's
Wendy's
Burger King Worldwide
Dollar Tree
Hy-Vee
Army / Air Force Exchange
Dunkin' Brands Group
Health Mart Systems
AutoZone
"Toys ""R"" Us"
Wegmans Food Market
O'Reilly Automotive
DineEquity
Giant Eagle
Sherwin-Williams
Dick's Sporting Goods
Staples
Office Depot
Dillard's
Good Neighbor Pharmacy
Darden Restaurants
GameStop
PetSmart
QVC
Chick-fil-A
WinCo Foods
Tractor Supply Co.
Barnes & Noble
A&P
AVB Brandsource
Signet Jewelers
Foot Locker
Big Lots
Hudson's Bay
Alimentation Couche-Tard
Defense Commissary Agency
Neiman Marcus
Jack in the Box
Ascena Retail Group
Burlington Coat Factory
Ikea North America Services
Williams-Sonoma
Save Mart Supermarkets
Panera Bread Company
Advance Auto Parts
Michaels Stores
True Value Co.
Domino's Pizza
Belk
Chipotle Mexican Grill
Sonic
Stater Bros. Holdings
Price Chopper Supermarkets
Dell
